Doc:transcript-donald-trumps-remarks-on-jeb-bush-speaking-spanish-at-the-cnn-republican-presidential-debate, AVG:181.0, List:[181]
Doc:transcript-donald-trumps-response-on-his-disparaging-remarks-against-women-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:182.0, List:[182]
Doc:transcript-bernie-sanderss-remarks-on-clintons-emails-at-the-cnn-democratic-presidential-debate, AVG:183.0, List:[183]
Doc:transcript-hillary-clintons-remarks-on-the-fatal-shooting-of-two-roanoke-journalists, AVG:184.0, List:[184]
Doc:transcript-john-kasichs-remarks-on-the-iran-nuclear-agreement-at-the-cnn-republican-presidential-debate, AVG:185.0, List:[185]
Doc:transcript-hillary-clintons-remarks-on-gun-control-at-the-cnn-democratic-presidential-debate, AVG:186.0, List:[186]
Doc:transcript-hillary-clintons-remarks-on-the-use-of-her-personal-email, AVG:187.0, List:[187]
Doc:transcript-ben-carsons-remarks-on-special-interest-money-at-the-cnn-republican-presidential-debate, AVG:188.0, List:[188]
Doc:transcript-carly-fiorinas-remarks-on-donald-trumps-comment-about-her-face-at-the-cnn-republican-presidential-debate, AVG:189.0, List:[189]
Doc:transcript-donald-trumps-remarks-on-his-business-track-record-at-the-cnn-republican-presidential-debate, AVG:190.0, List:[190]
Doc:transcript-jeb-bushs-remarks-on-immigration-at-the-cnn-republican-presidential-debate, AVG:191.0, List:[191]
Doc:transcript-jeb-bushs-remarks-on-immigration-in-mcallen-texas, AVG:192.0, List:[192]
Doc:transcript-marco-rubios-remarks-on-immigration-at-the-cnn-republican-presidential-debate, AVG:193.0, List:[193]
Doc:transcript-chris-christies-closing-statement-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:194.0, List:[194]
Doc:transcript-marco-rubios-remarks-on-climate-change-at-the-cnn-republican-presidential-debate, AVG:195.0, List:[195]
Doc:transcript-bernie-sanderss-remarks-on-va-waitlist-scandal-at-the-cnn-democratic-presidential-debate, AVG:196.0, List:[196]
Doc:transcript-bernie-sanderss-remarks-on-gun-control-at-the-cnn-democratic-presidential-debate, AVG:197.0, List:[197]
Doc:transcript-donald-trumps-remarks-on-fiorinas-track-record-at-hp-at-the-cnn-republican-presidential-debate, AVG:198.0, List:[198]
Doc:transcript-mike-huckabees-remarks-on-litmus-test-for-supreme-court-nominees-at-the-cnn-republican-presidential-debate, AVG:199.0, List:[199]
Doc:transcript-jeb-bushs-remarks-on-kim-davis-at-the-cnn-republican-presidential-debate, AVG:200.0, List:[200]
Doc:transcript-mike-huckabees-remarks-on-military-actions-against-isis-at-the-cnn-republican-presidential-debate, AVG:201.0, List:[201]
Doc:transcript-chris-christies-remarks-on-social-security-at-the-cnn-republican-presidential-debate, AVG:202.0, List:[202]
Doc:transcript-ted-cruzs-remarks-on-cyber-warfare-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:203.0, List:[203]
Doc:transcript-rand-pauls-remarks-on-foreign-aid-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:204.0, List:[204]
Doc:transcript-john-kasichs-remarks-on-illegal-immigration-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:205.0, List:[205]
Doc:transcript-lindsey-grahams-closing-statement-in-the-first-republican-presidential-debate, AVG:206.0, List:[206]
Doc:transcript-bernie-sanderss-remarks-on-paid-family-leave-at-the-cnn-democratic-presidential-debate, AVG:207.0, List:[207]
Doc:transcript-hillary-clintons-remarks-on-sidney-blumenthal-may-19-2015, AVG:208.0, List:[208]
Doc:transcript-hillary-clintons-closing-remarks-at-the-cnn-democratic-presidential-debate, AVG:209.0, List:[209]
Doc:transcript-chris-christies-remarks-on-entitlement-reforms-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:210.0, List:[210]
